cycle,time,phi1,Ex1,Ey1
20,1e-10,4.963744e-01,3.698749e-01,-1.036124e-01
40,2e-10,5.120894e-01,4.416999e-01,-1.395390e-01
60,3e-10,5.263399e-01,4.296225e-01,-1.055329e-01
80,4e-10,5.218061e-01,4.180414e-01,4.534714e-04
100,5e-10,4.988025e-01,5.124159e-01,7.057628e-02
120,6e-10,4.744523e-01,5.014327e-01,-6.907331e-02
140,7e-10,4.692061e-01,4.506212e-01,-4.201752e-02
160,8e-10,4.828533e-01,4.798208e-01,2.442941e-02
180,9e-10,4.892121e-01,4.578128e-01,3.993993e-03
200,1e-09,4.664072e-01,6.176417e-01,-6.758588e-02
220,1.1e-09,4.277969e-01,7.170727e-01,5.822801e-02
240,1.2e-09,4.127152e-01,5.873731e-01,1.532330e-02
260,1.3e-09,4.245398e-01,6.548489e-01,-4.001314e-02
280,1.4e-09,4.370531e-01,7.604199e-01,1.303910e-01
300,1.5e-09,4.132882e-01,7.863563e-01,2.724785e-02
320,1.6e-09,3.728980e-01,9.607328e-01,-6.702202e-03
340,1.7e-09,3.532949e-01,8.108491e-01,-8.690541e-03
360,1.8e-09,3.679284e-01,7.323560e-01,-3.102267e-02
380,1.9e-09,3.845704e-01,8.326505e-01,3.118161e-02
400,2e-09,3.675827e-01,9.105074e-01,3.106915e-02
420,2.1e-09,3.278959e-01,9.368953e-01,-5.488363e-03
440,2.2e-09,3.115559e-01,1.074489e+00,2.847654e-01
460,2.3e-09,3.362577e-01,8.341583e-01,-4.620028e-02
480,2.4e-09,3.604660e-01,9.185011e-01,1.238753e-01
500,2.5e-09,3.463375e-01,1.117750e+00,3.248178e-02
520,2.6e-09,3.164703e-01,1.249178e+00,1.819730e-01
540,2.7e-09,3.161390e-01,9.638047e-01,6.303260e-02
560,2.8e-09,3.527658e-01,1.000377e+00,1.326879e-01
580,2.9e-09,3.858575e-01,9.463017e-01,1.969400e-01
600,3e-09,3.864095e-01,1.051176e+00,1.866978e-01
620,3.1e-09,3.840192e-01,1.032020e+00,7.031701e-02
640,3.2e-09,4.226627e-01,1.089255e+00,1.196399e-01
660,3.3e-09,4.968161e-01,1.016024e+00,-2.280729e-01
680,3.4e-09,5.771419e-01,8.895463e-01,3.242103e-02
700,3.5e-09,6.363046e-01,1.005809e+00,1.179346e-01
720,3.6e-09,7.020676e-01,1.015797e+00,-1.199441e-01
740,3.7e-09,7.987338e-01,9.534662e-01,-2.104253e-02
760,3.8e-09,9.082894e-01,1.086734e+00,-6.446254e-02
