cycle,time,phi1,Ex1,Ey1
20,1e-10,4.988145e-01,3.453908e-01,-5.859286e-02
40,2e-10,5.149678e-01,3.618016e-01,-9.825729e-02
60,3e-10,5.275216e-01,3.934646e-01,-6.262191e-02
80,4e-10,5.216649e-01,3.393320e-01,-9.639490e-02
100,5e-10,4.983559e-01,4.030590e-01,-5.330518e-02
120,6e-10,4.754965e-01,4.341769e-01,-2.554213e-02
140,7e-10,4.715933e-01,4.803785e-01,-5.198705e-03
160,8e-10,4.837318e-01,4.230454e-01,-2.076195e-02
180,9e-10,4.885801e-01,4.410830e-01,9.572342e-03
200,1e-09,4.666675e-01,5.134664e-01,3.325787e-02
220,1.1e-09,4.283331e-01,6.313478e-01,-5.803524e-02
240,1.2e-09,4.130098e-01,5.371265e-01,-1.810494e-02
260,1.3e-09,4.269876e-01,7.108661e-01,2.727977e-02
280,1.4e-09,4.385170e-01,6.538604e-01,-5.226475e-02
300,1.5e-09,4.136361e-01,7.527702e-01,9.577740e-02
320,1.6e-09,3.717538e-01,8.261981e-01,-4.282237e-02
340,1.7e-09,3.524381e-01,8.344609e-01,3.460580e-02
360,1.8e-09,3.695627e-01,7.796922e-01,9.381988e-03
380,1.9e-09,3.850610e-01,7.195596e-01,-6.552693e-02
400,2e-09,3.650405e-01,8.344494e-01,-9.084818e-02
420,2.1e-09,3.248686e-01,9.617315e-01,6.920692e-03
440,2.2e-09,3.103980e-01,9.119918e-01,-1.851360e-02
460,2.3e-09,3.347516e-01,9.183882e-01,-2.901383e-02
480,2.4e-09,3.603938e-01,8.606253e-01,3.490684e-02
500,2.5e-09,3.450697e-01,9.907247e-01,-1.257365e-02
520,2.6e-09,3.125372e-01,1.066566e+00,-5.345520e-02
540,2.7e-09,3.106999e-01,1.078873e+00,-1.098365e-02
560,2.8e-09,3.488755e-01,9.873178e-01,-3.976397e-02
580,2.9e-09,3.843365e-01,9.631947e-01,4.619153e-02
600,3e-09,3.870213e-01,9.513419e-01,3.280791e-02
620,3.1e-09,3.843016e-01,9.395131e-01,-6.982335e-02
640,3.2e-09,4.231085e-01,1.037314e+00,1.000333e-02
660,3.3e-09,5.046149e-01,8.972822e-01,2.474252e-02
680,3.4e-09,5.915191e-01,9.209932e-01,-9.108490e-02
700,3.5e-09,6.566245e-01,9.904693e-01,6.150425e-02
720,3.6e-09,7.263575e-01,1.028289e+00,-1.295182e-02
740,3.7e-09,8.241629e-01,1.018650e+00,4.915255e-02
760,3.8e-09,9.383851e-01,1.058290e+00,1.339255e-02
780,3.9e-09,1.030560e+00,1.149075e+00,-1.589686e-02
800,4e-09,1.077730e+00,1.131708e+00,2.762998e-03
820,4.1e-09,1.091787e+00,1.112667e+00,-6.505103e-02
840,4.2e-09,1.090359e+00,1.193145e+00,-2.003069e-02
860,4.3e-09,1.073876e+00,1.033885e+00,-1.429070e-02
880,4.4e-09,1.022554e+00,9.992922e-01,-3.866993e-02
900,4.5e-09,9.266973e-01,1.186893e+00,-6.629722e-02
920,4.6e-09,8.111731e-01,1.082331e+00,-4.320413e-02
940,4.7e-09,7.136318e-01,1.038417e+00,-3.618606e-02
960,4.8e-09,6.450871e-01,9.500413e-01,-3.681838e-02
980,4.9e-09,5.760988e-01,9.076783e-01,4.648961e-03
1000,5e-09,4.907570e-01,1.004271e+00,-2.211795e-02
1020,5.1e-09,4.136365e-01,9.719214e-01,-3.195036e-02
1040,5.2e-09,3.823256e-01,8.276495e-01,-4.946528e-02
1060,5.3e-09,3.843308e-01,8.728262e-01,-5.817444e-02
1080,5.4e-09,3.800697e-01,9.671268e-01,-3.852692e-02
1100,5.5e-09,3.497639e-01,9.579118e-01,-1.196426e-01
1120,5.6e-09,3.187962e-01,9.501321e-01,1.941636e-02
1140,5.7e-09,3.289566e-01,9.047304e-01,-3.596464e-02
1160,5.8e-09,3.637602e-01,9.778411e-01,1.421615e-02
1180,5.9e-09,3.832648e-01,8.573130e-01,1.025126e-01
1200,6e-09,3.745840e-01,9.133243e-01,-7.017796e-02
1220,6.1e-09,3.745276e-01,9.847727e-01,-7.687625e-02
1240,6.2e-09,4.199435e-01,9.937022e-01,-1.146540e-01
1260,6.3e-09,4.942697e-01,1.007915e+00,-6.251562e-02
1280,6.4e-09,5.628442e-01,1.011501e+00,-8.118022e-03
1300,6.5e-09,6.188256e-01,9.378916e-01,-2.087999e-02
1320,6.6e-09,6.859425e-01,1.066928e+00,2.574347e-02
1340,6.7e-09,7.889330e-01,1.055014e+00,-8.182397e-02
1360,6.8e-09,9.024236e-01,1.123860e+00,6.954081e-02
1380,6.9e-09,9.875074e-01,1.100612e+00,9.628454e-03
1400,7e-09,1.037001e+00,1.115560e+00,-9.295744e-02
1420,7.1e-09,1.063245e+00,1.068029e+00,-2.466536e-02
1440,7.2e-09,1.076732e+00,1.012798e+00,-4.529104e-02
1460,7.3e-09,1.069522e+00,1.168790e+00,-9.850327e-02
1480,7.4e-09,1.020127e+00,1.110807e+00,-1.825833e-02
1500,7.5e-09,9.303721e-01,1.067580e+00,2.941365e-02
1520,7.6e-09,8.291519e-01,1.082618e+00,1.938524e-02
1540,7.7e-09,7.453337e-01,1.022811e+00,-6.024120e-02
1560,7.8e-09,6.722072e-01,9.906734e-01,-6.449752e-02
1580,7.9e-09,5.926676e-01,9.084365e-01,-1.021999
