cycle,time,phi[ngx/4 ngy/2],Ex[ngx/4 ngy/2],Ey[ngx/4 ngy/2]
200020,1.0001e-06,6.085395e-01,1.838130e+00,8.673319e-01
200040,1.0002e-06,5.939489e-01,1.777428e+00,7.459175e-01
200060,1.0003e-06,5.875224e-01,1.897655e+00,7.978572e-01
200080,1.0004e-06,5.832499e-01,1.962238e+00,6.107024e-01
200100,1.0005e-06,5.855017e-01,1.617637e+00,6.799800e-01
200120,1.0006e-06,5.858117e-01,1.920763e+00,7.490497e-01
200140,1.0007e-06,5.904821e-01,1.595035e+00,5.130197e-01
200160,1.0008e-06,5.927789e-01,1.686540e+00,4.926527e-01
200180,1.0009e-06,5.956733e-01,1.395873e+00,6.143985e-01
200200,1.001e-06,6.094965e-01,1.206395e+00,2.758284e-01
200220,1.0011e-06,6.218979e-01,1.300114e+00,2.813778e-01
200240,1.0012e-06,6.234482e-01,1.196593e+00,2.874502e-01
200260,1.0013e-06,6.246125e-01,1.241962e+00,4.639520e-01
200280,1.0014e-06,6.278450e-01,1.266102e+00,6.272668e-01
200300,1.0015e-06,6.339547e-01,1.209454e+00,6.279492e-01
200320,1.0016e-06,6.170732e-01,9.535425e-01,7.859319e-01
200340,1.0017e-06,6.027212e-01,9.746212e-01,6.337253e-01
200360,1.0018e-06,6.065972e-01,1.157365e+00,5.715650e-01
200380,1.0019e-06,6.132071e-01,1.103633e+00,3.549151e-01
200400,1.002e-06,6.062391e-01,8.202552e-01,5.904830e-01
200420,1.0021e-06,6.013225e-01,8.129192e-01,7.924603e-01
200440,1.0022e-06,6.064768e-01,9.141316e-01,6.635424e-01
200460,1.0023e-06,6.047145e-01,9.192936e-01,5.752450e-01
200480,1.0024e-06,5.943795e-01,8.823950e-01,5.566534e-01
200500,1.0025e-06,5.864969e-01,9.837415e-01,4.956050e-01
200520,1.0026e-06,5.935007e-01,1.043844e+00,4.762690e-01
200540,1.0027e-06,5.983521e-01,1.214556e+00,5.363899e-01
200560,1.0028e-06,6.040009e-01,1.447273e+00,6.394387e-01
200580,1.0029e-06,6.034853e-01,1.319263e+00,4.767503e-01
200600,1.003e-06,6.043948e-01,1.674747e+00,6.297786e-01
200620,1.0031e-06,6.055344e-01,1.807663e+00,5.905753e-01
200640,1.0032e-06,5.997358e-01,1.794949e+00,7.361629e-01
200660,1.0033e-06,5.971704e-01,1.789824e+00,8.203036e-01
200680,1.0034e-06,5.966578e-01,1.817842e+00,5.679771e-01
200700,1.0035e-06,5.987431e-01,1.841168e+00,4.663738e-01
200720,1.0036e-06,5.905378e-01,1.721934e+00,5.545263e-01
200740,1.0037e-06,5.835043e-01,1.939633e+00,6.193690e-01
200760,1.0038e-06,5.886145e-01,2.010040e+00,6.423673e-01
200780,1.0039e-06,5.934663e-01,1.730544e+00,5.889105e-01
200800,1.004e-06,6.032749e-01,1.636502e+00,2.775860e-01
200820,1.0041e-06,5.987496e-01,1.659675e+00,4.626402e-01
200840,1.0042e-06,6.038363e-01,1.359044e+00,4.439723e-01
200860,1.0043e-06,6.246396e-01,1.279411e+00,5.087601e-01
200880,1.0044e-06,6.362028e-01,1.388661e+00,5.412398e-01
200900,1.0045e-06,6.275243e-01,9.296699e-01,3.098805e-01
200920,1.0046e-06,6.224893e-01,1.082515e+00,5.880063e-01
200940,1.0047e-06,6.216433e-01,1.280383e+00,6.851968e-01
200960,1.0048e-06,6.181037e-01,1.033408e+00,5.519401e-01
200980,1.0049e-06,6.068066e-01,9.835387e-01,3.336877e-01
201000,1.005e-06,6.029465e-01,9.765619e-01,5.447785e-01
201020,1.0051e-06,6.032583e-01,1.052202e+00,6.020743e-01
201040,1.0052e-06,6.035538e-01,8.281316e-01,5.344114e-01
201060,1.0053e-06,6.070796e-01,1.080364e+00,7.281675e-01
201080,1.0054e-06,6.050541e-01,9.490376e-01,4.617000e-01
