cycle,time,phi1,Ex1,Ey1
800020,4.0001e-06,6.421954e-01,5.314576e-01,4.272826e-02
800040,4.0002e-06,6.403589e-01,3.996105e-01,3.184228e-01
800060,4.0003e-06,6.395409e-01,2.599449e-01,-1.340160e-02
800080,4.0004e-06,6.418433e-01,1.231706e-01,-1.906019e-02
800100,4.0005e-06,6.415294e-01,4.687256e-01,1.723875e-01
800120,4.0006e-06,6.443629e-01,4.200368e-01,2.736175e-01
800140,4.0007e-06,6.415793e-01,6.166941e-01,1.028257e-01
800160,4.0008e-06,6.460360e-01,1.995354e-01,-3.012058e-02
800180,4.0009e-06,6.385069e-01,3.461328e-01,2.829295e-01
800200,4.001e-06,6.376355e-01,4.620092e-01,2.813222e-01
800220,4.0011e-06,6.437813e-01,2.766641e-01,1.598032e-01
800240,4.0012e-06,6.397513e-01,2.203408e-01,3.621915e-01
800260,4.0013e-06,6.399044e-01,3.696921e-01,1.363975e-01
800280,4.0014e-06,6.431291e-01,2.145769e-01,2.065792e-01
800300,4.0015e-06,6.400964e-01,1.154850e-01,9.958359e-02
800320,4.0016e-06,6.341045e-01,4.186116e-01,-7.896358e-02
800340,4.0017e-06,6.369106e-01,5.650277e-01,2.464713e-01
800360,4.0018e-06,6.450137e-01,3.137250e-01,2.251181e-01
800380,4.0019e-06,6.375850e-01,2.525505e-01,9.798685e-02
800400,4.002e-06,6.335226e-01,3.110412e-01,4.357856e-02
800420,4.0021e-06,6.422026e-01,3.953198e-01,2.534402e-01
800440,4.0022e-06,6.429548e-01,2.751526e-01,3.673702e-01
800460,4.0023e-06,6.421852e-01,5.212373e-01,3.392150e-01
800480,4.0024e-06,6.424289e-01,1.883491e-01,1.682367e-01
800500,4.0025e-06,6.439900e-01,3.385170e-01,1.229436e-01
800520,4.0026e-06,6.335986e-01,4.157256e-01,3.231838e-01
800540,4.0027e-06,6.438067e-01,4.954676e-01,-2.184598e-01
800560,4.0028e-06,6.442087e-01,4.895191e-01,-1.612273e-02
800580,4.0029e-06,6.357495e-01,4.812887e-01,1.148933e-01
800600,4.003e-06,6.394910e-01,2.147976e-01,3.326478e-01
800620,4.0031e-06,6.389045e-01,4.486241e-01,3.081807e-01
800640,4.0032e-06,6.360108e-01,3.570918e-01,2.017181e-01
800660,4.0033e-06,6.404736e-01,7.491601e-01,2.018996e-01
800680,4.0034e-06,6.407368e-01,3.537816e-01,2.320780e-01
800700,4.0035e-06,6.362661e-01,4.860607e-01,5.341658e-02
800720,4.0036e-06,6.384615e-01,4.024969e-01,1.767794e-01
800740,4.0037e-06,6.469104e-01,3.201526e-01,1.355160e-01
800760,4.0038e-06,6.412515e-01,7.360548e-01,-8.670931e-02
800780,4.0039e-06,6.313857e-01,4.214785e-01,2.233324e-01
800800,4.004e-06,6.397523e-01,5.515690e-01,2.420786e-01
800820,4.0041e-06,6.449772e-01,2.553549e-01,2.618579e-01
800840,4.0042e-06,6.366364e-01,5.279068e-01,1.834068e-01
800860,4.0043e-06,6.341046e-01,4.829975e-01,-9.124181e-02
800880,4.0044e-06,6.335751e-01,5.092644e-01,4.820810e-01
800900,4.0045e-06,6.397200e-01,4.971155e-01,4.139841e-01
800920,4.0046e-06,6.357416e-01,6.848737e-01,1.901351e-01
800940,4.0047e-06,6.318997e-01,4.110301e-01,1.578865e-01
800960,4.0048e-06,6.387468e-01,5.687488e-01,1.784686e-01
800980,4.0049e-06,6.385142e-01,4.670217e-01,4.384802e-01
801000,4.005e-06,6.379582e-01,2.796615e-01,2.671379e-01
801020,4.0051e-06,6.374012e-01,4.718463e-01,4.150132e-01
801040,4.0052e-06,6.363993e-01,6.741321e-01,3.228497e-01
801060,4.0053e-06,6.358294e-01,6.471976e-01,2.068969e-01
801080,4.0054e-06,6.273322e-01,5.450333e-01,2.582915e-01
801100,4.0055e-06,6.331731e-01,6.002213e-01,2.664522e-01
801120,4.0056e-06,6.402649e-01,3.365039e-01,6.593407e-02
801140,4.0057e-06,6.379050e-01,5.104367e-01,3.905001e-01
801160,4.0058e-06,6.344816e-01,5.360955e-01,3.324631e-01
801180,4.0059e-06,6.383175e-01,4.946508e-01,2.122813e-01
801200,4.006e-06,6.342729e-01,4.624230e-01,3.527463e-01
801220,4.0061e-06,6.336573e-01,4.816058e-01,3.420494e-01
801240,4.0062e-06,6.352364e-01,5.982134e-01,2.390651e-01
801260,4.0063e-06,6.452044e-01,6.015244e-01,5.905638e-01
801280,4.0064e-06,6.404842e-01,5.998644e-01,2.670856e-01
801300,4.0065e-06,6.365920e-01,3.457753e-01,2.559550e-01
801320,4.0066e-06,6.368119e-01,5.751132e-01,4.772208e-01
