cycle,time,phi1,Ex1,Ey1
20,1e-10,4.965790e-01,3.292343e-01,-5.107259e-02
40,2e-10,5.116578e-01,3.973162e-01,-1.007641e-01
60,3e-10,5.255645e-01,4.226716e-01,-4.614620e-02
80,4e-10,5.209690e-01,3.501829e-01,-3.522888e-03
100,5e-10,4.981180e-01,4.366089e-01,2.106917e-02
120,6e-10,4.738343e-01,4.405733e-01,-3.355973e-02
140,7e-10,4.686554e-01,4.306834e-01,2.178029e-02
160,8e-10,4.818510e-01,4.380335e-01,4.032630e-02
180,9e-10,4.873137e-01,4.581630e-01,-7.856265e-05
200,1e-09,4.651932e-01,5.210041e-01,-4.471970e-02
220,1.1e-09,4.276144e-01,6.269108e-01,3.177637e-02
240,1.2e-09,4.115741e-01,5.993378e-01,5.773803e-02
260,1.3e-09,4.216924e-01,6.187305e-01,6.508173e-02
280,1.4e-09,4.331049e-01,7.165950e-01,1.249427e-01
300,1.5e-09,4.103462e-01,7.171984e-01,1.147842e-01
320,1.6e-09,3.702119e-01,8.876695e-01,2.108116e-02
340,1.7e-09,3.505785e-01,8.662588e-01,4.265744e-02
360,1.8e-09,3.640442e-01,7.166552e-01,6.961116e-02
380,1.9e-09,3.792658e-01,8.361881e-01,6.989125e-02
400,2e-09,3.625183e-01,9.076042e-01,1.261209e-01
420,2.1e-09,3.230064e-01,9.669883e-01,7.380553e-02
440,2.2e-09,3.052453e-01,1.079471e+00,2.373611e-01
460,2.3e-09,3.274064e-01,8.900170e-01,1.185721e-01
480,2.4e-09,3.516665e-01,8.743226e-01,1.005646e-01
500,2.5e-09,3.386477e-01,9.839578e-01,1.350690e-01
520,2.6e-09,3.086997e-01,1.072102e+00,1.514609e-01
540,2.7e-09,3.065375e-01,9.720553e-01,1.518472e-01
560,2.8e-09,3.417488e-01,1.008513e+00,1.048258e-01
580,2.9e-09,3.782328e-01,9.564147e-01,1.116245e-01
600,3e-09,3.811384e-01,1.082268e+00,1.429171e-01
620,3.1e-09,3.809306e-01,1.071316e+00,5.043374e-02
640,3.2e-09,4.175600e-01,1.037073e+00,4.763054e-02
660,3.3e-09,4.969293e-01,9.867528e-01,-9.611093e-02
680,3.4e-09,5.829289e-01,9.580224e-01,-3.182962e-02
700,3.5e-09,6.470580e-01,9.947370e-01,5.343693e-02
720,3.6e-09,7.161735e-01,9.661772e-01,5.048370e-02
740,3.7e-09,8.107970e-01,1.021460e+00,3.409339e-02
760,3.8e-09,9.251159e-01,1.104406e+00,4.249577e-03
780,3.9e-09,1.018379e+00,9.696419e-01,4.063533e-02
800,4e-09,1.067640e+00,1.068127e+00,6.272864e-03
820,4.1e-09,1.078991e+00,1.114286e+00,-5.484778e-02
840,4.2e-09,1.081729e+00,1.137192e+00,5.763487e-02
860,4.3e-09,1.066400e+00,9.140845e-01,4.499377e-02
880,4.4e-09,1.016006e+00,1.035144e+00,8.423789e-02
900,4.5e-09,9.237836e-01,9.567646e-01,7.281440e-02
920,4.6e-09,8.120676e-01,1.101858e+00,6.022173e-02
940,4.7e-09,7.114587e-01,1.015148e+00,3.268988e-02
960,4.8e-09,6.450377e-01,9.529247e-01,-1.040730e-01
980,4.9e-09,5.774124e-01,9.281514e-01,4.564419e-02
1000,5e-09,4.931058e-01,1.019263e+00,1.490794e-02
1020,5.1e-09,4.144324e-01,9.663225e-01,6.168639e-02
1040,5.2e-09,3.791979e-01,9.050569e-01,1.944778e-01
1060,5.3e-09,3.842185e-01,8.017667e-01,7.478202e-02
1080,5.4e-09,3.781444e-01,9.706284e-01,5.708933e-02
1100,5.5e-09,3.476264e-01,1.040622e+00,1.587899e-01
1120,5.6e-09,3.156264e-01,9.816055e-01,1.523879e-01
1140,5.7e-09,3.238094e-01,8.477753e-01,3.306098e-02
1160,5.8e-09,3.618719e-01,9.502683e-01,5.321146e-02
1180,5.9e-09,3.807886e-01,1.120826e+00,4.304622e-02
1200,6e-09,3.742730e-01,8.711849e-01,6.327283e-02
1220,6.1e-09,3.709456e-01,9.626902e-01,-4.767786e-02
1240,6.2e-09,4.107997e-01,9.537232e-01,5.025686e-02
1260,6.3e-09,4.862118e-01,9.156550e-01,-3.068148e-03
1280,6.4e-09,5.511056e-01,8.780215e-01,3.120573e-02
1300,6.5e-09,6.030697e-01,1.101243e+00,1.113819e-02
1320,6.6e-09,6.661257e-01,9.913323e-01,-7.919934e-02
1340,6.7e-09,7.657857e-01,1.022020e+00,1.890875e-01
1360,6.8e-09,8.766711e-01,1.138118e+00,1.805445e-01
1380,6.9e-09,9.638856e-01,1.087815e+00,1.105883e-01
1400,7e-09,1.016176e+00,1.171192e+00,-3.189486e-03
1420,7.1e-09,1.043998e+00,1.070161e+00,7.362486e-02
1440,7.2e-09,1.061847e+00,1.082154e+00,1.044361e-01
1460,7.3e-09,1.060876e+00,1.108323e+00,9.517692e-02
1480,7.4e-09,1.018115e+00,1.059780e+00,2.225113e-02
1500,7.5e-09,9.327939e-01,1.046917e+00,3.091092e-03
1520,7.6e-09,8.332486e-01,1.054932e+00,-2.272774e-02
1540,7.7e-09,7.493398e-01,9.645152e-01,7.656059e-02
1560,7.8e-09,6.822984e-01,9.961978e-01,9.438853e-02
1580,7.9e-09,6.024522e-01,9.646392e-01,1.490863e-01
1600,8e-09,5.148344e-01,8.902855e-01,-1.585605e-02
1620,8.1e-09,4.488646e-01,8.185943e-01,9.820940e-02
1640,8.2e-09,4.174962e-01,8.866234e-01,1.984262e-02
1660,8.3e-09,4.095191e-01,8.159593e-01,-1.913201e-02
1680,8.4e-09,3.917482e-01,8.975931e-01,6.351010e-02
1700,8.5e-09,3.594443e-01,9.572670e-01,1.510103e-01
1720,8.6e-09,3.408340e-01,1.063667e+00,1.034746e-01
1740,8.7e-09,3.533669e-01,9.497885e-01,-3.312612e-02
1760,8.8e-09,3.747751e-01,8.756626e-01,2.329626e-02
1780,8.9e-09,3.844916e-01,1.008313e+00,-5.001633e-02
1800,9e-09,3.806460e-01,8.862471e-01,9.369645e-02
1820,9.1e-09,3.915381e-01,8.773288e-01,8.570606e-02
1840,9.2e-09,4.321282e-01,9.644827e-01,8.562543e-02
1860,9.3e-09,4.915715e-01,9.340361e-01,2.902028e-02
1880,9.4e-09,5.495741e-01,1.006978e+00,9.805221e-03
1900,9.5e-09,6.082700e-01,9.047719e-01,2.410320e-02
1920,9.6e-09,6.839862e-01,9.399866e-01,6.008148e-02
1940,9.7e-09,7.727466e-01,1.038273e+00,1.555521e-01
1960,9.8e-09,8.705992e-01,1.066584e+00,4.751733e-02
1980,9.9e-09,9.557021e-01,1.065379e+00,9.747019e-02
2000,1e-08,1.014728e+00,9.831741e-01,1.547907e-01
2020,1.01e-08,1.046470e+00,1.128578e+00,2.062583e-01
2040,1.02e-08,1.057870e+00,1.000474e+00,1.087411e-01
2060,1.03e-08,1.051129e+00,1.076825e+00,2.058038e-02
2080,1.04e-08,1.012089e+00,1.053932e+00,2.591296e-02
2100,1.05e-08,9.338223e-01,9.537839e-01,6.472012e-02
2120,1.06e-08,8.384037e-01,9.520550e-01,1.046765e-02
2140,1.07e-08,7.472866e-01,8.735749e-01,-2.638816e-02
2160,1.08e-08,6.725435e-01,8.693287e-01,6.000000e-02
2180,1.09e-08,6.008794e-01,8.870152e-01,1.643527e-02
2200,1.1e-08,5.285462e-01,9.831235e-01,-1.838995e-02
2220,1.11e-08,4.552863e-01,8.779076e-01,8.864355e-02
2240,1.12e-08,4.125398e-01,8.312137e-01,1.182630e-01
2260,1.13e-08,4.072933e-01,8.304624e-01,-2.423589e-02
2280,1.14e-08,4.034782e-01,8.246809e-01,-7.744750e-02
2300,1.15e-08,3.839199e-01,8.635318e-01,1.122612e-01
2320,1.16e-08,3.563029e-01,8.383421e-01,-2.347890e-02
2340,1.17e-08,3.507070e-01,9.560062e-01,-9.763550e-03
2360,1.18e-08,3.760201e-01,9.755756e-01,2.352660e-02
2380,1.19e-08,4.019743e-01,9.531165e-01,7.757857e-02
2400,1.2e-08,4.062935e-01,8.838736e-01,1.034617e-01
2420,1.21e-08,4.017628e-01,9.153098e-01,4.011374e-02
2440,1.22e-08,4.301524e-01,1.011235e+00,-1.605726e-02
2460,1.23e-08,4.936590e-01,8.571708e-01,4.308385e-03
2480,1.24e-08,5.646929e-01,1.034308e+00,8.316711e-02
2500,1.25e-08,6.230141e-01,9.289870e-01,3.724667e-02
2520,1.26e-08,6.818855e-01,1.046948e+00,8.950393e-02
2540,1.27e-08,7.652436e-01,1.087536e+00,9.276908e-02
2560,1.28e-08,8.690841e-01,1.014410e+00,1.080143e-03
2580,1.29e-08,9.572545e-01,1.107301e+00,5.153821e-02
2600,1.3e-08,1.008656e+00,9.532571e-01,9.338048e-03
2620,1.31e-08,1.021815e+00,1.060988e+00,7.872278e-04
2640,1.32e-08,1.027295e+00,9.966301e-01,3.013983e-02
