cycle,time,phi1,Ex1,Ey1
10,5e-11,4.949751e-01,4.545758e-01,8.827287e-02
20,1e-10,4.982767e-01,6.773306e-01,1.234932e-02
30,1.5e-10,5.044190e-01,6.555185e-01,-2.130211e-01
40,2e-10,5.120333e-01,7.963228e-01,-2.383979e-01
50,2.5e-10,5.181836e-01,6.730775e-01,-2.648149e-02
60,3e-10,5.238834e-01,6.553247e-01,-2.318348e-01
70,3.5e-10,5.248240e-01,5.108753e-01,-1.161041e-01
80,4e-10,5.198781e-01,4.470160e-01,-3.755963e-02
90,4.5e-10,5.108096e-01,3.894594e-01,-7.894684e-02
100,5e-10,4.981939e-01,6.877843e-01,6.043857e-02
110,5.5e-10,4.861220e-01,7.300865e-01,-5.800278e-02
120,6e-10,4.755060e-01,9.076207e-01,-2.614343e-02
130,6.5e-10,4.705060e-01,8.072582e-01,-1.222553e-02
140,7e-10,4.701778e-01,5.590131e-01,-1.272674e-01
150,7.5e-10,4.752320e-01,7.445970e-01,6.328065e-02
160,8e-10,4.803443e-01,9.214078e-01,-7.751922e-02
170,8.5e-10,4.844444e-01,7.613819e-01,4.753150e-02
180,9e-10,4.844203e-01,7.565884e-01,-5.286539e-02
190,9.5e-10,4.802795e-01,7.808715e-01,-2.545663e-01
200,1e-09,4.656123e-01,8.726779e-01,-2.750676e-02
210,1.05e-09,4.481215e-01,8.149511e-01,-1.416228e-02
220,1.1e-09,4.306037e-01,7.682959e-01,5.895602e-02
230,1.15e-09,4.162181e-01,8.726290e-01,7.492474e-02
240,1.2e-09,4.115274e-01,7.835914e-01,-4.769043e-02
250,1.25e-09,4.123181e-01,9.453406e-01,7.350550e-02
260,1.3e-09,4.174695e-01,1.020810e+00,9.192070e-03
270,1.35e-09,4.281471e-01,7.652556e-01,1.894715e-01
280,1.4e-09,4.344653e-01,8.342241e-01,-7.200518e-02
290,1.45e-09,4.295740e-01,1.057392e+00,1.591828e-01
300,1.5e-09,4.146061e-01,1.116651e+00,6.190694e-02
310,1.55e-09,3.939124e-01,1.060234e+00,-9.689893e-02
320,1.6e-09,3.755233e-01,1.095488e+00,-1.479215e-01
330,1.65e-09,3.590277e-01,1.025093e+00,-1.476246e-01
340,1.7e-09,3.495697e-01,1.216232e+00,1.689362e-01
350,1.75e-09,3.537944e-01,1.158447e+00,-2.429566e-01
360,1.8e-09,3.653687e-01,8.974976e-01,-2.101404e-01
370,1.85e-09,3.740758e-01,9.879089e-01,-4.876126e-02
380,1.9e-09,3.785718e-01,9.909207e-01,1.041056e-01
390,1.95e-09,3.760192e-01,9.853956e-01,-3.832730e-02
400,2e-09,3.652940e-01,1.126515e+00,7.125073e-02
410,2.05e-09,3.463138e-01,1.121466e+00,6.610251e-02
420,2.1e-09,3.284938e-01,1.158000e+00,-2.899584e-02
430,2.15e-09,3.107683e-01,1.124546e+00,-1.797906e-02
440,2.2e-09,3.070040e-01,1.352837e+00,-6.938189e-02
450,2.25e-09,3.176182e-01,1.288020e+00,-1.509462e-02
460,2.3e-09,3.310059e-01,1.133324e+00,-2.009543e-02
470,2.35e-09,3.469150e-01,9.906955e-01,-9.421770e-02
480,2.4e-09,3.570768e-01,1.208066e+00,1.140564e-02
490,2.45e-09,3.532549e-01,1.123449e+00,-6.099981e-02
500,2.5e-09,3.429636e-01,1.329332e+00,-1.425234e-01
510,2.55e-09,3.266828e-01,1.162529e+00,3.748246e-02
520,2.6e-09,3.098038e-01,1.548201e+00,1.552878e-01
530,2.65e-09,3.051215e-01,1.094917e+00,8.833019e-02
540,2.7e-09,3.106702e-01,1.307823e+00,2.047751e-02
550,2.75e-09,3.246416e-01,1.477728e+00,-2.613186e-02
560,2.8e-09,3.452300e-01,1.527711e+00,-5.994497e-02
570,2.85e-09,3.667169e-01,1.371488e+00,3.073283e-02
580,2.9e-09,3.813162e-01,1.279073e+00,9.089710e-02
590,2.95e-09,3.844396e-01,1.258189e+00,1.655244e-01
600,3e-09,3.818469e-01,1.207981e+00,1.306465e-01
610,3.05e-09,3.779071e-01,1.180464e+00,-1.849057e-01
620,3.1e-09,3.826565e-01,1.436967e+00,-8.308770e-02
630,3.15e-09,3.943527e-01,1.345476e+00,-5.195141e-02
640,3.2e-09,4.186914e-01,1.106586e+00,-1.932642e-01
650,3.25e-09,4.532633e-01,1.247787e+00,-1.250669e-01
660,3.3e-09,4.946954e-01,1.330535e+00,-2.157285e-01
670,3.35e-09,5.399150e-01,1.364691e+00,8.463394e-03
680,3.4e-09,5.767812e-01,1.172523e+00,-1.095290e-01
690,3.45e-09,6.101532e-01,1.122721e+00,-2.054754e-01
700,3.5e-09,6.429546e-01,1.253246e+00,-7.560773e-02
710,3.55e-09,6.735863e-01,1.151631e+00,-7.245088e-02
720,3.6e-09,7.061719e-01,1.220648e+00,-1.701630e-01
730,3.65e-09,7.488795e-01,1.410013e+00,-1.918539e-01
740,3.7e-09,8.016113e-01,1.242170e+00,-2.250280e-01
750,3.75e-09,8.544138e-01,1.235499e+00,-3.102126e-02
760,3.8e-09,9.104457e-01,1.336417e+00,-2.732472e-01
770,3.85e-09,9.637678e-01,1.151670e+00,-7.671225e-03
780,3.9e-09,1.007081e+00,1.030031e+00,-1.854239e-01
790,3.95e-09,1.035488e+00,1.073742e+00,-5.877331e-02
800,4e-09,1.052022e+00,1.280173e+00,-1.342296e-01
810,4.05e-09,1.060879e+00,1.628103e+00,-7.983039e-02
820,4.1e-09,1.065407e+00,1.557823e+00,-1.823636e-01
830,4.15e-09,1.066418e+00,1.549831e+00,-6.501142e-02
840,4.2e-09,1.069227e+00,1.470085e+00,-2.323781e-01
850,4.25e-09,1.068096e+00,1.330568e+00,-2.052317e-01
860,4.3e-09,1.059605e+00,1.431041e+00,-3.615745e-02
870,4.35e-09,1.041992e+00,1.425478e+00,-1.197455e-01
880,4.4e-09,1.014238e+00,1.262378e+00,-4.880859e-02
890,4.45e-09,9.726263e-01,1.314704e+00,7.894975e-02
900,4.5e-09,9.215757e-01,1.451632e+00,7.338810e-03
910,4.55e-09,8.675752e-01,1.393143e+00,-8.915498e-02
920,4.6e-09,8.126126e-01,1.234220e+00,-2.294406e-01
930,4.65e-09,7.621711e-01,1.198530e+00,-1.579239e-02
940,4.7e-09,7.178563e-01,1.154861e+00,-9.555321e-02
950,4.75e-09,6.802992e-01,1.143294e+00,-1.695559e-01
960,4.8e-09,6.489334e-01,1.135757e+00,7.753242e-02
970,4.85e-09,6.184191e-01,8.029084e-01,1.571734e-01
980,4.9e-09,5.863999e-01,1.042389e+00,-2.200615e-01
990,4.95e-09,5.474652e-01,1.173192e+00,-2.105400e-02
1000,5e-09,5.023789e-01,1.154968e+00,-1.696994e-02
1010,5.05e-09,4.576131e-01,1.212079e+00,-9.595054e-03
1020,5.1e-09,4.223999e-01,1.153052e+00,6.172512e-02
1030,5.15e-09,3.992727e-01,9.415630e-01,-6.553471e-03
1040,5.2e-09,3.872597e-01,1.385975e+00,1.242829e-01
1050,5.25e-09,3.861343e-01,1.092160e+00,1.964149e-02
1060,5.3e-09,3.897003e-01,1.164325e+00,2.018145e-01
1070,5.35e-09,3.925897e-01,1.125666e+00,7.555573e-02
1080,5.4e-09,3.879802e-01,1.145770e+00,1.232735e-01
1090,5.45e-09,3.718420e-01,1.243885e+00,-3.874888e-02
1100,5.5e-09,3.513025e-01,1.308067e+00,1.954398e-01
1110,5.55e-09,3.314577e-01,1.344506e+00,-1.924390e-01
1120,5.6e-09,3.226982e-01,1.296780e+00,-1.893170e-01
1130,5.65e-09,3.222542e-01,1.397753e+00,1.115077e-01
1140,5.7e-09,3.311732e-01,1.154154e+00,-2.609567e-02
1150,5.75e-09,3.501416e-01,9.097725e-01,-1.375529e-01
1160,5.8e-09,3.651955e-01,1.277843e+00,-3.473249e-02
1170,5.85e-09,3.757605e-01,1.213550e+00,6.863096e-02
1180,5.9e-09,3.819058e-01,1.148497e+00,-6.723481e-02
1190,5.95e-09,3.777610e-01,1.223091e+00,-7.973166e-02
1200,6e-09,3.705278e-01,1.204399e+00,1.442330e-01
1210,6.05e-09,3.691163e-01,1.217567e+00,-3.760664e-01
1220,6.1e-09,3.725621e-01,1.075999e+00,5.860332e-02
1230,6.15e-09,3.879804e-01,1.129157e+00,-1.313120e-01
1240,6.2e-09,4.106489e-01,1.176667e+00,-6.830397e-02
1250,6.25e-09,4.448999e-01,1.081336e+00,-4.432696e-01
1260,6.3e-09,4.810455e-01,1.352351e+00,-1.930727e-01
1270,6.35e-09,5.149037e-01,1.129691e+00,-1.096522e-01
1280,6.4e-09,5.432493e-01,1.152934e+00,-1.386889e-01
1290,6.45e-09,5.670808e-01,1.174983e+00,-2.348969e-01
1300,6.5e-09,5.881776e-01,1.319370e+00,1.179937e-01
1310,6.55e-09,6.124139e-01,1.343384e+00,-1.877260e-01
1320,6.6e-09,6.460999e-01,1.256010e+00,-8.805853e-02
1330,6.65e-09,6.900906e-01,1.305657e+00,-2.405164e-01
1340,6.7e-09,7.431048e-01,1.452674e+00,-1.665574e-01
1350,6.75e-09,7.956295e-01,1.555316e+00,1.434131e-01
1360,6.8e-09,8.472010e-01,1.485476e+00,3.152286e-02
1370,6.85e-09,8.929138e-01,1.310287e+00,2.784205e-02
1380,6.9e-09,9.322022e-01,1.105802e+00,-1.929425e-01
1390,6.95e-09,9.618505e-01,1.187802e+00,-1.188199e-01
1400,7e-09,9.806476e-01,1.146112e+00,1.571299e-02
1410,7.05e-09,9.974894e-01,1.283986e+00,-1.033071e-01
1420,7.1e-09,1.013365e+00,1.140419e+00,1.262032e-01
1430,7.15e-09,1.026223e+00,1.110967e+00,1.354681e-01
1440,7.2e-09,1.038619e+00,1.266937e+00,-8.037540e-02
1450,7.25e-09,1.045791e+00,1.269682e+00,-4.352856e-03
1460,7.3e-09,1.042403e+00,1.554066e+00,6.612642e-03
1470,7.35e-09,1.029145e+00,1.041240e+00,7.766999e-02
1480,7.4e-09,1.005311e+00,1.224657e+00,1.650358e-01
1490,7.45e-09,9.727031e-01,1.313855e+00,2.139098e-02
1500,7.5e-09,9.300202e-01,1.145988e+00,3.506434e-01
1510,7.55e-09,8.813505e-01,1.381327e+00,8.808358e-02
1520,7.6e-09,8.389653e-01,1.091392e+00,-1.887958e-01
1530,7.65e-09,7.995090e-01,1.226757e+00,9.311005e-02
1540,7.7e-09,7.603973e-01,1.270387e+00,1.999629e-01
1550,7.75e-09,7.285985e-01,1.080349e+00,-1.993342e-01
1560,7.8e-09,6.937937e-01,1.088998e+00,-1.561808e-01
1570,7.85e-09,6.547050e-01,1.012431e+00,-9.099090e-02
1580,7.9e-09,6.142693e-01,1.031378e+00,-4.280969e-02
1590,7.95e-09,5.738887e-01,1.145550e+00,-2.410556e-01
1600,8e-09,5.336806e-01,1.194640e+00,-5.445082e-02
1610,8.05e-09,4.928778e-01,1.303691e+00,2.170636e-01
1620,8.1e-09,4.616461e-01,1.283448e+00,2.080339e-02
1630,8.15e-09,4.420653e-01,1.249753e+00,2.972823e-02
1640,8.2e-09,4.347256e-01,1.092334e+00,-1.201526e-01
1650,8.25e-09,4.294898e-01,1.066818e+00,1.836660e-02
1660,8.3e-09,4.229067e-01,9.718655e-01,5.088281e-02
1670,8.35e-09,4.099313e-01,1.377091e+00,2.168026e-01
1680,8.4e-09,3.937696e-01,1.084457e+00,-6.250196e-02
1690,8.45e-09,3.800654e-01,1.204399e+00,-1.006063e-01
1700,8.5e-09,3.650477e-01,1.389905e+00,9.499635e-02
1710,8.55e-09,3.596184e-01,1.016513e+00,-2.117678e-01
1720,8.6e-09,3.501814e-01,1.142362e+00,1.476428e-02
1730,8.65e-09,3.512124e-01,1.054278e+00,1.062897e-01
1740,8.7e-09,3.585410e-01,8.084028e-01,-9.922914e-02
1750,8.75e-09,3.681632e-01,1.100778e+00,-5.268761e-02
1760,8.8e-09,3.778173e-01,1.303776e+00,-4.289106e-02
1770,8.85e-09,3.852082e-01,1.262783e+00,-1.340784e-01
1780,8.9e-09,3.878820e-01,1.145362e+00,-1.012972e-01
1790,8.95e-09,3.888567e-01,1.171703e+00,1.277384e-01
1800,9e-09,3.893388e-01,1.087852e+00,-6.636602e-03
1810,9.05e-09,3.901579e-01,1.044592e+00,1.710342e-01
1820,9.1e-09,3.953894e-01,9.842550e-01,1.406804e-01
1830,9.15e-09,4.067409e-01,1.319680e+00,-8.125262e-03
1840,9.2e-09,4.308202e-01,1.034753e+00,-1.151745e-01
1850,9.25e-09,4.565291e-01,8.584566e-01,1.122162e-01
1860,9.3e-09,4.803330e-01,1.228934e+00,2.307974e-02
1870,9.35e-09,5.079533e-01,1.139666e+00,-2.697547e-02
1880,9.4e-09,5.359214e-01,1.172982e+00,-5.425691e-02
1890,9.45e-09,5.648245e-01,1.167274e+00,-2.151590e-02
1900,9.5e-09,5.926947e-01,1.239199e+00,1.718787e-01
1910,9.55e-09,6.219441e-01,1.048525e+00,1.765304e-01
1920,9.6e-09,6.511524e-01,1.062477e+00,2.404413e-01
1930,9.65e-09,6.879897e-01,1.113907e+00,-1.422944e-01
1940,9.7e-09,7.337443e-01,1.048528e+00,-1.561675e-01
1950,9.75e-09,7.793361e-01,1.032890e+00,1.715616e-01
1960,9.8e-09,8.270084e-01,1.204022e+00,-1.845536e-01
1970,9.85e-09,8.727139e-01,1.234514e+00,-4.815568e-02
1980,9.9e-09,9.151601e-01,1.140254e+00,-1.843433e-01
1990,9.95e-09,9.496859e-01,9.555923e-01,-2.253770e-01
2000,1e-08,9.703640e-01,9.892207e-01,1.829411e-02
