cycle,time,phi1,Ex1,Ey1
20,1e-10,4.986053e-01,3.095528e-01,-7.868011e-02
40,2e-10,5.145180e-01,3.343303e-01,-7.913166e-02
60,3e-10,5.272155e-01,3.692166e-01,-5.071990e-02
80,4e-10,5.211217e-01,3.601876e-01,-7.503882e-02
100,5e-10,4.973445e-01,3.488544e-01,-3.087793e-02
120,6e-10,4.742170e-01,4.059214e-01,-1.797265e-02
140,7e-10,4.704471e-01,4.705997e-01,-3.146619e-02
160,8e-10,4.830302e-01,3.934810e-01,-4.474336e-02
180,9e-10,4.874377e-01,4.225198e-01,-2.564120e-02
200,1e-09,4.645372e-01,4.621342e-01,4.545116e-03
220,1.1e-09,4.261693e-01,6.033039e-01,-4.604808e-02
240,1.2e-09,4.116751e-01,5.047550e-01,-3.022479e-02
260,1.3e-09,4.253565e-01,6.733907e-01,4.502350e-03
280,1.4e-09,4.364370e-01,5.845459e-01,-2.220368e-02
300,1.5e-09,4.106689e-01,7.352425e-01,2.617730e-02
320,1.6e-09,3.689772e-01,7.330303e-01,-6.649179e-02
340,1.7e-09,3.497758e-01,8.164499e-01,2.178974e-02
360,1.8e-09,3.673815e-01,7.521473e-01,-1.842090e-02
380,1.9e-09,3.819491e-01,6.934756e-01,-3.186747e-02
400,2e-09,3.616376e-01,7.853522e-01,-1.122180e-02
420,2.1e-09,3.209799e-01,9.061252e-01,-4.309198e-02
440,2.2e-09,3.069663e-01,8.826866e-01,-5.082561e-03
460,2.3e-09,3.316385e-01,8.787259e-01,-7.024945e-02
480,2.4e-09,3.561591e-01,8.852607e-01,5.136410e-02
500,2.5e-09,3.407106e-01,9.645661e-01,-4.447899e-02
520,2.6e-09,3.083456e-01,9.893030e-01,-4.525748e-02
540,2.7e-09,3.074822e-01,1.030380e+00,-2.092753e-02
560,2.8e-09,3.453455e-01,9.282066e-01,-4.882560e-02
580,2.9e-09,3.801429e-01,9.343643e-01,7.936253e-03
600,3e-09,3.822330e-01,9.124821e-01,1.908823e-02
620,3.1e-09,3.791375e-01,9.219458e-01,-4.193923e-02
640,3.2e-09,4.186386e-01,9.739650e-01,-3.706762e-02
660,3.3e-09,4.998236e-01,8.551002e-01,-4.345446e-02
680,3.4e-09,5.851197e-01,9.061627e-01,-5.567036e-02
700,3.5e-09,6.493309e-01,9.208133e-01,3.180952e-03
720,3.6e-09,7.181553e-01,9.865062e-01,-2.721103e-02
740,3.7e-09,8.155751e-01,1.053670e+00,1.454535e-02
760,3.8e-09,9.304497e-01,1.025562e+00,7.738139e-03
780,3.9e-09,1.022626e+00,1.056533e+00,-6.684372e-02
800,4e-09,1.070693e+00,1.097664e+00,-3.208265e-02
820,4.1e-09,1.085698e+00,1.111303e+00,-7.137094e-02
840,4.2e-09,1.086069e+00,1.070906e+00,-6.412515e-02
860,4.3e-09,1.071420e+00,9.147257e-01,-7.849739e-02
880,4.4e-09,1.020611e+00,9.801624e-01,-3.487043e-02
900,4.5e-09,9.263172e-01,1.049629e+00,-6.078860e-02
920,4.6e-09,8.107722e-01,1.091267e+00,-6.515933e-02
940,4.7e-09,7.142276e-01,9.689608e-01,3.399700e-02
960,4.8e-09,6.456640e-01,8.743136e-01,1.361685e-02
980,4.9e-09,5.762960e-01,8.290315e-01,-2.254501e-02
1000,5e-09,4.901437e-01,8.963107e-01,-6.927634e-02
1020,5.1e-09,4.132504e-01,9.135187e-01,-5.509435e-02
1040,5.2e-09,3.820584e-01,8.508821e-01,-4.271961e-02
1060,5.3e-09,3.833733e-01,9.023100e-01,-2.576466e-02
1080,5.4e-09,3.777775e-01,9.339343e-01,-8.515333e-02
1100,5.5e-09,3.462243e-01,1.017818e+00,4.392086e-02
1120,5.6e-09,3.160562e-01,9.736239e-01,4.067934e-02
1140,5.7e-09,3.262550e-01,8.616323e-01,-8.048509e-02
1160,5.8e-09,3.605993e-01,9.030981e-01,-4.524636e-02
