cycle,time,phi1,Ex1,Ey1
1,5e-12,0.000000e+00,-0.000000e+00,-0.000000e+00
2,1e-11,1.668434e-01,-4.767083e+00,3.249916e-01
3,1.5e-11,2.578176e-01,-7.245930e+00,4.763615e-01
4,2e-11,2.757863e-01,-7.726083e+00,5.042834e-01
5,2.5e-11,2.232418e-01,-6.313290e+00,4.208205e-01
6,3e-11,9.473743e-02,-2.743227e+00,1.924530e-01
7,3.5e-11,-9.468351e-02,2.842892e+00,-2.149295e-01
8,4e-11,-2.551244e-01,7.909131e+00,-6.365910e-01
9,4.5e-11,-3.316540e-01,1.044396e+01,-8.658993e-01
10,5e-11,-3.091315e-01,9.689636e+00,-7.963893e-01
11,5.5e-11,-1.913403e-01,5.855910e+00,-4.597663e-01
12,6e-11,-6.550130e-03,1.933289e-01,-1.411653e-02
13,6.5e-11,1.623957e-01,-4.643671e+00,3.171209e-01
14,7e-11,2.558514e-01,-7.192985e+00,4.732205e-01
15,7.5e-11,2.760828e-01,-7.733766e+00,5.046926e-01
16,8e-11,2.258813e-01,-6.384672e+00,4.250982e-01
17,8.5e-11,9.987585e-02,-2.889150e+00,2.022640e-01
18,9e-11,-8.875663e-02,2.661743e+00,-2.007513e-01
19,9.5e-11,-2.513140e-01,7.784758e+00,-6.256195e-01
20,1e-10,-3.308935e-01,1.041803e+01,-8.634425e-01
21,1.05e-10,-3.115588e-01,9.770301e+00,-8.037294e-01
22,1.1e-10,-1.965473e-01,6.021380e+00,-4.736932e-01
23,1.15e-10,-1.300266e-02,3.842547e-01,-2.812913e-02
24,1.2e-10,1.579417e-01,-4.519855e+00,3.091910e-01
25,1.25e-10,2.538332e-01,-7.138608e+00,4.699900e-01
26,1.3e-10,2.762931e-01,-7.739131e+00,5.049652e-01
27,1.35e-10,2.283714e-01,-6.451972e+00,4.291243e-01
28,1.4e-10,1.048236e-01,-3.029377e+00,2.116500e-01
29,1.45e-10,-8.291093e-02,2.483538e+00,-1.868722e-01
30,1.5e-10,-2.474817e-01,7.659838e+00,-6.146262e-01
31,1.55e-10,-3.300038e-01,1.038780e+01,-8.605951e-01
32,1.6e-10,-3.137780e-01,9.844055e+00,-8.104423e-01
33,1.65e-10,-2.014994e-01,6.179021e+00,-4.870035e-01
34,1.7e-10,-1.925508e-02,5.697020e-01,-4.180616e-02
35,1.75e-10,1.535500e-01,-4.397593e+00,3.013335e-01
36,1.8e-10,2.518020e-01,-7.083862e+00,4.667346e-01
37,1.85e-10,2.764286e-01,-7.742500e+00,5.051220e-01
38,1.9e-10,2.307095e-01,-6.515083e+00,4.328878e-01
39,1.95e-10,1.095391e-01,-3.162764e+00,2.205395e-01
40,2e-10,-7.722084e-02,2.310449e+00,-1.734482e-01
41,2.05e-10,-2.436744e-01,7.535945e+00,-6.037553e-01
42,2.1e-10,-3.290181e-01,1.035433e+01,-8.574427e-01
43,2.15e-10,-3.157816e-01,9.910676e+00,-8.165112e-01
44,2.2e-10,-2.061550e-01,6.327511e+00,-4.995844e-01
45,2.25e-10,-2.525066e-02,7.479206e-01,-5.500913e-02
46,2.3e-10,1.492718e-01,-4.278312e+00,2.936410e-01
47,2.35e-10,2.497983e-01,-7.029808e+00,4.635132e-01
48,2.4e-10,2.765029e-01,-7.744262e+00,5.051894e-01
49,2.45e-10,2.328952e-01,-6.574038e+00,4.363967e-01
50,2.5e-10,1.140080e-01,-3.288973e+00,2.289201e-01
51,2.55e-10,-7.171357e-02,2.143323e+00,-1.605465e-01
52,2.6e-10,-2.399242e-01,7.414125e+00,-5.930980e-01
53,2.65e-10,-3.279558e-01,1.031833e+01,-8.540638e-01
54,2.7e-10,-3.175852e-01,9.970671e+00,-8.219798e-01
55,2.75e-10,-2.105267e-01,6.467134e+00,-5.114441e-01
56,2.8e-10,-3.096885e-02,9.182726e-01,-6.768617e-02
57,2.85e-10,1.451298e-01,-4.162673e+00,2.861596e-01
58,2.9e-10,2.478370e-01,-6.976876e+00,4.603549e-01
59,2.95e-10,2.765430e-01,-7.745095e+00,5.052007e-01
60,3e-10,2.349553e-01,-6.629529e+00,4.396882e-01
61,3.05e-10,1.182526e-01,-3.408635e+00,2.368341e-01
62,3.1e-10,-6.639446e-02,1.982237e+00,-1.481610e-01
63,3.15e-10,-2.362505e-01,7.294919e+00,-5.826904e-01
64,3.2e-10,-3.268400e-01,1.028053e+01,-8.505187e-01
65,3.25e-10,-3.192154e-01,1.002491e+01,-8.269264e-01
66,3.3e-10,-2.146304e-01,6.598483e+00,-5.226418e-01
67,3.35e-10,-3.642993e-02,1.081308e+00,-7.987039e-02
68,3.4e-10,1.411261e-01,-4.050698e+00,2.788865e-01
69,3.45e-10,2.459329e-01,-6.925415e+00,4.572743e-01
70,3.5e-10,2.765554e-01,-7.745217e+00,5.051745e-01
71,3.55e-10,2.369124e-01,-6.682198e+00,4.428051e-01
72,3.6e-10,1.223106e-01,-3.522858e+00,2.443617e-01
73,3.65e-10,-6.122952e-02,1.826138e+00,-1.362074e-01
74,3.7e-10,-2.326278e-01,7.177588e+00,-5.724789e-01
75,3.75e-10,-3.256818e-01,1.024130e+01,-8.468413e-01
76,3.8e-10,-3.207064e-01,1.007453e+01,-8.314525e-01
