i,j,rhs_decompose,sol_decompose,rhs_Ax,sol_Ax,rhs_Ay,sol_Ay
0,0,7.725952e+01,1.463896e+08,-2.695933e-02,4.989759e-04,2.237469e-02,2.540942e+14
1,0,7.725952e+01,1.460680e+08,-8.135983e-02,5.045618e-04,2.210376e-02,2.540942e+14
2,0,7.725952e+01,1.450975e+08,-1.371921e-01,5.200651e-04,2.128422e-02,2.540942e+14
3,0,7.725952e+01,1.434610e+08,-1.953621e-01,5.443824e-04,1.989658e-02,2.540942e+14
4,0,7.725952e+01,1.411307e+08,-2.566925e-01,5.765090e-04,1.790978e-02,2.540942e+14
5,0,7.725952e+01,1.380687e+08,-3.218689e-01,6.154875e-04,1.527782e-02,2.540942e+14
6,0,7.725952e+01,1.342294e+08,-3.913607e-01,6.603572e-04,1.192364e-02,2.540942e+14
7,0,7.725952e+01,1.295611e+08,-4.653081e-01,7.101060e-04,7.699631e-03,2.540942e+14
8,0,7.725952e+01,1.240107e+08,-5.433612e-01,7.636302e-04,2.322847e-03,2.540942e+14
9,0,7.725952e+01,1.175293e+08,-6.244785e-01,8.197065e-04,-4.682436e-03,2.540942e+14
10,0,7.725952e+01,1.100803e+08,-7.067437e-01,8.769926e-04,-1.392695e-02,2.540942e+14
11,0,7.725952e+01,1.016500e+08,-7.873891e-01,9.340704e-04,-2.579370e-02,2.540942e+14
12,0,7.725952e+01,9.225774e+07,-8.633404e-01,9.895468e-04,-3.964617e-02,2.540942e+14
13,0,7.725952e+01,8.195951e+07,-9.324849e-01,1.042192e-03,-5.294547e-02,2.540942e+14
14,0,7.725952e+01,7.083650e+07,-9.949908e-01,1.091032e-03,-6.159410e-02,2.540942e+14
15,0,7.725952e+01,5.896788e+07,-1.052564e+00,1.135287e-03,-6.312131e-02,2.540942e+14
16,0,7.725952e+01,4.641251e+07,-1.105846e+00,1.174196e-03,-5.917788e-02,2.540942e+14
17,0,7.725952e+01,3.322158e+07,-1.153657e+00,1.206936e-03,-5.273589e-02,2.540942e+14
18,0,7.725952e+01,1.946034e+07,-1.193766e+00,1.232673e-03,-4.555140e-02,2.540942e+14
19,0,7.725952e+01,5.220669e+06,-1.223830e+00,1.250655e-03,-3.785501e-02,2.540942e+14
20,0,7.725952e+01,-9.377613e+06,-1.242064e+00,1.260309e-03,-2.911029e-02,2.540942e+14
21,0,7.725952e+01,-2.419341e+07,-1.247556e+00,1.261295e-03,-1.889840e-02,2.540942e+14
22,0,7.725952e+01,-3.907471e+07,-1.240217e+00,1.253511e-03,-7.366731e-03,2.540942e+14
23,0,7.725952e+01,-5.386847e+07,-1.220415e+00,1.237064e-03,4.930786e-03,2.540942e+14
24,0,7.725952e+01,-6.842602e+07,-1.188575e+00,1.212240e-03,1.708379e-02,2.540942e+14
25,0,7.725952e+01,-8.260378e+07,-1.144992e+00,1.179483e-03,2.769970e-02,2.540942e+14
26,0,7.725952e+01,-9.626165e+07,-1.089931e+00,1.139415e-03,3.545361e-02,2.540942e+14
27,0,7.725952e+01,-1.092627e+08,-1.024022e+00,1.092866e-03,3.970331e-02,2.540942e+14
28,0,7.725952e+01,-1.214776e+08,-9.486566e-01,1.040899e-03,4.055126e-02,2.540942e+14
29,0,7.725952e+01,-1.327936e+08,-8.659745e-01,9.847970e-04,3.856169e-02,2.540942e+14
30,0,7.725952e+01,-1.431232e+08,-7.784663e-01,9.259995e-04,3.449485e-02,2.540942e+14
31,0,7.725952e+01,-1.524090e+08,-6.885962e-01,8.660337e-04,2.915942e-02,2.540942e+14
32,0,7.725952e+01,-1.606229e+08,-5.985140e-01,8.064444e-04,2.331795e-02,2.540942e+14
33,0,7.725952e+01,-1.677622e+08,-5.098752e-01,7.487424e-04,1.760614e-02,2.540942e+14
34,0,7.725952e+01,-1.738441e+08,-4.237798e-01,6.943737e-04,1.247379e-02,2.540942e+14
35,0,7.725952e+01,-1.788991e+08,-3.407921e-01,6.447129e-04,8.171960e-03,2.540942e+14
36,0,7.725952e+01,-1.829642e+08,-2.610021e-01,6.010770e-04,4.785011e-03,2.540942e+14
37,0,7.725952e+01,-1.860776e+08,-1.841052e-01,5.647570e-04,2.286219e-03,2.540942e+14
38,0,7.725952e+01,-1.882736e+08,-1.094905e-01,5.370629e-04,5.951094e-04,2.540942e+14
39,0,7.725952e+01,-1.895797e+08,-3.633049e-02,5.193776e-04,-3.763313e-04,2.540942e+14
40,0,7.725952e+01,-1.900130e+08,-5.575166e-09,5.132165e-04,-6.923943e-04,2.540942e+14
0,1,7.725952e+01,1.463856e+08,-2.723026e-02,4.955940e-04,7.683519e-02,2.540942e+14
1,1,7.725952e+01,1.460608e+08,-8.217937e-02,5.011695e-04,7.705288e-02,2.540942e+14
2,1,7.725952e+01,1.450805e+08,-1.385798e-01,5.166290e-04,7.768459e-02,2.540942e+14
3,1,7.725952e+01,1.434275e+08,-1.973489e-01,5.408559e-04,7.866570e-02,2.540942e+14
4,1,7.725952e+01,1.410734e+08,-2.593245e-01,5.728339e-04,7.988539e-02,2.540942e+14
5,1,7.725952e+01,1.379801e+08,-3.252231e-01,6.115956e-04,8.117642e-02,2.540942e+14
6,1,7.725952e+01,1.341007e+08,-3.955847e-01,6.561744e-04,8.228531e-02,2.540942e+14
7,1,7.725952e+01,1.293820e+08,-4.706848e-01,7.055574e-04,8.279973e-02,2.540942e+14
8,1,7.725952e+01,1.237675e+08,-5.503665e-01,7.586431e-04,8.200448e-02,2.540942e+14
9,1,7.725952e+01,1.172026e+08,-6.337230e-01,8.142030e-04,7.867407e-02,2.540942e+14
10,1,7.725952e+01,1.096433e+08,-7.186104e-01,8.708617e-04,7.096049e-02,2.540942e+14
11,1,7.725952e+01,1.010714e+08,-8.012416e-01,9.271263e-04,5.683743e-02,2.540942e+14
12,1,7.725952e+01,9.151394e+07,-8.766397e-01,9.815089e-04,3.575198e-02,2.540942e+14
13,1,7.725952e+01,8.105706e+07,-9.411334e-01,1.032753e-03,1.154828e-02,2.540942e+14
14,1,7.725952e+01,6.983089e+07,-9.965180e-01,1.080034e-03,-6.209561e-03,2.540942e+14
15,1,7.725952e+01,5.794406e+07,-1.048621e+00,1.122820e-03,-1.101831e-02,2.540942e+14
16,1,7.725952e+01,4.543572e+07,-1.099404e+00,1.160470e-03,-8.394660e-03,2.540942e+14
17,1,7.725952e+01,3.232163e+07,-1.146473e+00,1.192137e-03,-5.667577e-03,2.540942e+14
18,1,7.725952e+01,1.864609e+07,-1.186069e+00,1.216917e-03,-5.954753e-03,2.540942e+14
19,1,7.725952e+01,4.498229e+06,-1.215085e+00,1.234036e-03,-8.839451e-03,2.540942e+14
20,1,7.725952e+01,-9.995742e+06,-1.231852e+00,1.242960e-03,-1.234259e-02,2.540942e+14
21,1,7.725952e+01,-2.468972e+07,-1.236025e+00,1.243424e-03,-1.472607e-02,2.540942e+14
22,1,7.725952e+01,-3.943348e+07,-1.227919e+00,1.235393e-03,-1.547206e-02,2.540942e+14
23,1,7.725952e+01,-5.408054e+07,-1.208262e+00,1.219024e-03,-1.472633e-02,2.540942e+14
24,1,7.725952e+01,-6.849314e+07,-1.177959e+00,1.194624e-03,-1.321986e-02,2.540942e+14
25,1,7.725952e+01,-8.254426e+07,-1.137238e+00,1.162609e-03,-1.302115e-02,2.540942e+14
26,1,7.725952e+01,-9.610964e+07,-1.085681e+00,1.123513e-03,-1.610338e-02,2.540942e+14
27,1,7.725952e+01,-1.090600e+08,-1.023174e+00,1.078060e-03,-2.280388e-02,2.540942e+14
28,1,7.725952e+01,-1.212648e+08,-9.506462e-01,1.027219e-03,-3.197622e-02,2.540942e+14
29,1,7.725952e+01,-1.326045e+08,-8.700413e-01,9.721959e-04,-4.204315e-02,2.540942e+14
30,1,7.725952e+01,-1.429826e+08,-7.838017e-01,9.143763e-04,-5.174470e-02,2.540942e+14
31,1,7.725952e+01,-1.523321e+08,-6.944377e-01,8.552552e-04,-6.020467e-02,2.540942e+14
32,1,7.725952e+01,-1.606156e+08,-6.042258e-01,7.963674e-04,-6.689394e-02,2.540942e+14
33,1,7.725952e+01,-1.678230e+08,-5.150076e-01,7.392305e-04,-7.161210e-02,2.540942e+14
34,1,7.725952e+01,-1.739662e+08,-4.280816e-01,6.853075e-04,-7.445213e-02,2.540942e+14
35,1,7.725952e+01,-1.790725e+08,-3.441791e-01,6.359925e-04,-7.573059e-02,2.540942e+14
36,1,7.725952e+01,-1.831780e+08,-2.635009e-01,5.926191e-04,-7.589318e-02,2.540942e+14
37,1,7.725952e+01,-1.863212e+08,-1.857963e-01,5.564903e-04,-7.541836e-02,2.540942e+14
38,1,7.725952e+01,-1.885374e+08,-1.104619e-01,5.289239e-04,-7.473927e-02,2.540942e+14
39,1,7.725952e+01,-1.898551e+08,-3.664655e-02,5.113096e-04,-7.419170e-02,2.540942e+14
40,1,7.725952e+01,-1.902922e+08,-5.575166e-09,5.051705e-04,-7.398549e-02,2.540942e+14
0,2,7.725952e+01,1.470312e+08,-2.701257e-02,4.803802e-04,1.308603e-01,2.540942e+14
1,2,7.725952e+01,1.467090e+08,-8.154767e-02,4.858389e-04,1.315880e-01,2.540942e+14
2,2,7.725952e+01,1.457362e+08,-1.375986e-01,5.009607e-04,1.337356e-01,2.540942e+14
3,2,7.725952e+01,1.440949e+08,-1.961292e-01,5.246447e-04,1.371962e-01,2.540942e+14
4,2,7.725952e+01,1.417554e+08,-2.580335e-01,5.558920e-04,1.417897e-01,2.540942e+14
5,2,7.725952e+01,1.386775e+08,-3.241142e-01,5.937563e-04,1.472571e-01,2.540942e+14
6,2,7.725952e+01,1.348113e+08,-3.950703e-01,6.372975e-04,1.532415e-01,2.540942e+14
7,2,7.725952e+01,1.300988e+08,-4.714801e-01,6.855390e-04,1.592095e-01,2.540942e+14
8,2,7.725952e+01,1.244748e+08,-5.536969e-01,7.374228e-04,1.642213e-01,2.540942e+14
