cycle,time,phi,Ex,Ey
20,1e-10,4.964744e-01,3.401489e-01,-7.012663e-02
40,2e-10,5.117991e-01,4.154553e-01,-1.203681e-01
60,3e-10,5.257939e-01,4.318038e-01,-7.057579e-02
80,4e-10,5.211540e-01,3.663646e-01,-7.974051e-03
100,5e-10,4.981244e-01,4.657994e-01,4.371629e-02
120,6e-10,4.737554e-01,4.602330e-01,-4.902261e-02
140,7e-10,4.685434e-01,4.305988e-01,4.874731e-03
160,8e-10,4.818773e-01,4.518319e-01,2.846414e-02
180,9e-10,4.875800e-01,4.644215e-01,9.464853e-03
200,1e-09,4.652281e-01,5.331491e-01,-5.677076e-02
220,1.1e-09,4.272600e-01,6.691552e-01,4.824130e-02
240,1.2e-09,4.113409e-01,6.135752e-01,3.712018e-02
260,1.3e-09,4.218190e-01,6.486260e-01,3.098235e-02
280,1.4e-09,4.335030e-01,7.399211e-01,1.297019e-01
300,1.5e-09,4.106549e-01,7.287983e-01,8.801638e-02
320,1.6e-09,3.698263e-01,9.105043e-01,2.198073e-02
340,1.7e-09,3.498593e-01,8.800847e-01,6.369214e-02
360,1.8e-09,3.640100e-01,7.049909e-01,7.385005e-02
380,1.9e-09,3.795009e-01,8.481675e-01,8.364975e-02
400,2e-09,3.628525e-01,9.399899e-01,9.574284e-02
420,2.1e-09,3.225515e-01,9.432795e-01,5.899359e-02
440,2.2e-09,3.046309e-01,1.033392e+00,2.644136e-01
460,2.3e-09,3.276571e-01,8.581825e-01,8.925395e-02
480,2.4e-09,3.524551e-01,8.900908e-01,5.633482e-02
500,2.5e-09,3.393698e-01,9.955236e-01,1.083343e-01
520,2.6e-09,3.083468e-01,1.105237e+00,1.134403e-01
540,2.7e-09,3.057080e-01,9.728378e-01,1.160107e-01
560,2.8e-09,3.416938e-01,9.880243e-01,5.287529e-02
580,2.9e-09,3.784622e-01,9.416319e-01,1.096555e-01
600,3e-09,3.816758e-01,1.071322e+00,9.153277e-02
620,3.1e-09,3.812793e-01,1.018904e+00,2.977154e-03
640,3.2e-09,4.171579e-01,1.018247e+00,1.395174e-01
660,3.3e-09,4.969066e-01,1.086318e+00,-1.305852e-01
680,3.4e-09,5.836905e-01,9.971260e-01,-1.274774e-02
