t,phi
1e-10,-0.07012663
2e-10,-0.1203681
3e-10,-0.07057579
4e-10,-0.007974051
5e-10,0.04371629
6e-10,-0.04902261
7.000000000000001e-10,0.004874731
8e-10,0.02846414
9e-10,0.009464853
1e-09,-0.05677076
1.1000000000000001e-09,0.0482413
1.2e-09,0.03712018
1.3e-09,0.03098235
1.4000000000000001e-09,0.1297019
1.5e-09,0.08801638
1.6e-09,0.02198073
1.7000000000000001e-09,0.06369214
1.8e-09,0.07385005
1.9e-09,0.08364975
2e-09,0.09574284
2.1e-09,0.05899359
2.2000000000000003e-09,0.2644136
2.3e-09,0.08925395
2.4e-09,0.05633482
2.5e-09,0.1083343
2.6e-09,0.1134403
2.7e-09,0.1160107
2.8000000000000003e-09,0.05287529
2.9e-09,0.1096555
3e-09,0.09153277
3.1e-09,0.002977154
3.2e-09,0.1395174
3.3e-09,-0.1305852
3.4000000000000003e-09,-0.01274774
3.5000000000000003e-09,0.02989029
3.6e-09,0.09433857
3.7e-09,0.003079407
3.8e-09,0.01659141
3.9e-09,-0.08156713
4e-09,0.06870686
4.1e-09,0.08943239
4.2e-09,-0.001573961
4.3000000000000005e-09,0.1221789
4.4000000000000005e-09,0.08284618
4.5e-09,0.03577844
4.6e-09,-0.004920004
4.7e-09,0.03942756
4.8e-09,0.002902046
4.9e-09,0.04998533
5e-09,0.0326807
5.1e-09,0.1101657
5.2e-09,0.1773892
5.3e-09,0.09700099
5.4e-09,0.1159835
5.5000000000000004e-09,0.1538552
5.6000000000000005e-09,0.1486418
5.7000000000000006e-09,0.1229638
5.8e-09,0.07324971
5.9e-09,0.1038127
6e-09,0.07156139
6.1e-09,0.02159351
6.2e-09,0.01848488
6.3e-09,0.01810899
6.4e-09,0.008522218
6.5e-09,-0.05968499
6.6e-09,0.009983118
6.7000000000000004e-09,-0.01900001
6.8000000000000005e-09,0.2618381
6.9000000000000006e-09,0.00313795
7.000000000000001e-09,0.09203242
7.1e-09,0.1508098
7.2e-09,0.03788973
7.3e-09,0.1263896
7.4e-09,0.1383611
7.500000000000001e-09,0.05453424
7.6e-09,-0.08741367
7.7e-09,0.1376352
7.8e-09,-0.01816789
7.9e-09,-0.09742757
8e-09,0.009238875
8.1e-09,0.1033236
8.2e-09,0.1072451
8.3e-09,0.1161964
8.4e-09,0.1805277
8.5e-09,0.1432542
8.600000000000001e-09,0.09368372
8.7e-09,0.2343519
8.800000000000001e-09,0.1385365
8.9e-09,0.1350632
9e-09,0.04111456
9.1e-09,0.1033449
9.2e-09,0.05649997
9.3e-09,-0.05750812
9.4e-09,0.05344583
9.5e-09,0.09118018
9.6e-09,0.002557082
9.700000000000001e-09,0.1062102
9.8e-09,0.1642231
9.900000000000001e-09,0.02457056
1e-08,0.1743811
1.0100000000000001e-08,0.1757496
1.02e-08,0.1024845
1.03e-08,-0.01149823
1.04e-08,0.1129079
1.05e-08,0.01754813
1.06e-08,-0.09468842
1.07e-08,-0.06335054
1.08e-08,0.01933822
1.09e-08,-0.02417853
1.1000000000000001e-08,0.1187108
1.11e-08,0.02040172
1.1200000000000001e-08,0.171528
1.13e-08,0.2192546
1.1400000000000001e-08,0.03761706
1.15e-08,0.1414623
1.16e-08,0.05101763
1.17e-08,0.08251392
1.18e-08,0.1046129
1.19e-08,0.084957
1.2e-08,0.06137602
1.21e-08,0.1092315
1.22e-08,0.05881803
1.2300000000000001e-08,0.06698018
1.24e-08,0.02084912
1.2500000000000001e-08,0.1693792
1.26e-08,0.1122783
1.2700000000000001e-08,0.1267345
1.28e-08,0.1417692
1.29e-08,0.1176864
1.3e-08,0.05623666
1.31e-08,0.09950566
1.32e-08,-0.04673319
1.33e-08,-0.08138347
1.3400000000000001e-08,-0.1937499
1.35e-08,0.04931566
1.3600000000000001e-08,0.02416554
1.37e-08,0.1652665
1.3800000000000001e-08,-0.003970719
1.39e-08,0.130832
1.4000000000000001e-08,0.04249665
1.41e-08,0.1055851
1.42e-08,0.105924
1.43e-08,0.1644575
1.44e-08,0.05269552
1.45e-08,0.1583536
1.46e-08,0.1094014
1.4700000000000001e-08,-0.03016772
1.48e-08,-0.1178312
1.4900000000000001e-08,0.17159
1.5000000000000002e-08,0.02413504
1.51e-08,0.07527379
1.52e-08,0.1216319
1.53e-08,0.03711495
1.54e-08,0.1841086
1.55e-08,-0.01750921
1.56e-08,0.04944892
1.57e-08,-0.02925343
1.58e-08,0.002161536
1.59e-08,0.105365
1.6e-08,-0.02919575
1.6100000000000002e-08,0.06112572
1.62e-08,0.1238144
1.63e-08,0.06946751
1.64e-08,0.02940668
1.6500000000000002e-08,0.1895118
1.66e-08,0.1689356
1.67e-08,0.1560714
